epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,179.148,0.58328,0.71432,0.96502,0.76902,0.59843,0.66716,0.59761,0.51069,0.788,0.93283,0.0011882,0.0011882,0.0011882
43,183.465,0.56924,0.74576,0.96346,0.76237,0.60629,0.65105,0.58241,0.49884,0.7671,0.91892,0.0011684,0.0011684,0.0011684
44,187.617,0.56919,0.73273,0.95821,0.67827,0.62992,0.615,0.55641,0.53889,0.81727,0.98304,0.0011486,0.0011486,0.0011486
45,191.765,0.58499,0.74007,0.95914,0.73376,0.62205,0.63321,0.57329,0.54906,0.77924,0.96397,0.0011288,0.0011288,0.0011288
46,196.014,0.55327,0.70937,0.94248,0.70049,0.61417,0.6202,0.55234,0.56377,0.84993,0.99026,0.001109,0.001109,0.001109
47,200.159,0.55089,0.7189,0.9479,0.65831,0.6068,0.61492,0.5452,0.54591,0.8156,0.99158,0.0010892,0.0010892,0.0010892
48,204.373,0.54016,0.68243,0.93647,0.74685,0.61417,0.6695,0.58568,0.54376,0.73432,0.97292,0.0010694,0.0010694,0.0010694
49,208.515,0.58012,0.74343,0.97265,0.72826,0.62205,0.64605,0.57438,0.58603,0.79672,1.01429,0.0010496,0.0010496,0.0010496
50,212.693,0.54141,0.75814,0.94527,0.77521,0.61417,0.64413,0.56979,0.56587,0.76637,0.98739,0.0010298,0.0010298,0.0010298
51,216.875,0.5429,0.72973,0.94511,0.81327,0.59843,0.67834,0.59553,0.50757,0.75639,0.94441,0.00101,0.00101,0.00101
52,221.029,0.52729,0.67953,0.92774,0.69993,0.64284,0.61578,0.55889,0.50764,0.82558,0.96709,0.0009902,0.0009902,0.0009902
53,225.222,0.52433,0.70265,0.93566,0.74516,0.62205,0.66053,0.59431,0.51734,0.75443,0.99586,0.0009704,0.0009704,0.0009704
54,229.361,0.55129,0.72282,0.9525,0.75346,0.5748,0.65163,0.59151,0.53782,0.76877,0.98022,0.0009506,0.0009506,0.0009506
55,233.529,0.53089,0.72119,0.96009,0.73969,0.59843,0.65454,0.59374,0.54363,0.8055,0.99324,0.0009308,0.0009308,0.0009308
56,237.772,0.54689,0.70877,0.95524,0.72765,0.61417,0.65709,0.5917,0.52946,0.76551,0.97177,0.000911,0.000911,0.000911
57,241.992,0.55485,0.69538,0.96052,0.71442,0.6378,0.65917,0.60625,0.55795,0.80845,0.97323,0.0008912,0.0008912,0.0008912
58,246.971,0.52192,0.64164,0.94337,0.70991,0.63591,0.64636,0.58832,0.49757,0.77366,0.94644,0.0008714,0.0008714,0.0008714
59,251.407,0.51592,0.6689,0.94784,0.7879,0.59055,0.67024,0.61571,0.52501,0.76118,0.99209,0.0008516,0.0008516,0.0008516
60,255.573,0.53046,0.70113,0.95154,0.72779,0.59055,0.66462,0.59009,0.51504,0.86809,0.95327,0.0008318,0.0008318,0.0008318
61,259.813,0.50865,0.64654,0.93612,0.75576,0.59843,0.64526,0.57441,0.50602,0.79619,0.96354,0.000812,0.000812,0.000812
62,264.04,0.51964,0.68038,0.9255,0.76649,0.6063,0.66568,0.60604,0.49268,0.78566,0.95412,0.0007922,0.0007922,0.0007922
63,268.253,0.49324,0.65406,0.93068,0.7133,0.62205,0.63555,0.55887,0.52752,0.82117,0.98058,0.0007724,0.0007724,0.0007724
64,272.44,0.52037,0.6628,0.9418,0.67236,0.66142,0.64706,0.57404,0.52445,0.74814,0.96667,0.0007526,0.0007526,0.0007526
65,276.791,0.49642,0.62382,0.93204,0.75893,0.61972,0.66246,0.60785,0.52661,0.7302,0.98925,0.0007328,0.0007328,0.0007328
66,281.277,0.5198,0.65762,0.9595,0.71588,0.65354,0.65428,0.60272,0.49499,0.75289,0.95943,0.000713,0.000713,0.000713
67,285.719,0.50322,0.63239,0.91837,0.7965,0.58556,0.64919,0.58697,0.52288,0.76263,0.97192,0.0006932,0.0006932,0.0006932
68,290.375,0.49825,0.58643,0.92488,0.68163,0.62205,0.60855,0.54889,0.51965,0.85665,0.96796,0.0006734,0.0006734,0.0006734
69,294.723,0.5077,0.62648,0.92862,0.71953,0.62992,0.63333,0.58286,0.49609,0.77822,0.97711,0.0006536,0.0006536,0.0006536
70,299.06,0.54054,0.69687,0.94274,0.68641,0.66929,0.65733,0.59828,0.49658,0.73985,0.96101,0.0006338,0.0006338,0.0006338
71,303.319,0.48983,0.62107,0.93074,0.71225,0.64318,0.65655,0.59684,0.4734,0.75506,0.94939,0.000614,0.000614,0.000614
72,307.562,0.49343,0.61035,0.94431,0.7352,0.61417,0.62694,0.57032,0.47177,0.75981,0.96714,0.0005942,0.0005942,0.0005942
73,311.823,0.49133,0.59563,0.93127,0.68591,0.65341,0.61752,0.55942,0.50189,0.79619,0.96685,0.0005744,0.0005744,0.0005744
74,316.072,0.48904,0.61802,0.93631,0.71585,0.61494,0.63995,0.58115,0.48933,0.80629,0.97233,0.0005546,0.0005546,0.0005546
